DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/03/23 00:14:52,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,1.9959,-60.8559,67.9
2024/03/23 00:14:53,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.9403,-61.4607,85.0
2024/03/23 00:14:53,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.9403,-61.4418,82.2
2024/03/23 00:14:53,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.9221,-61.4608,65.0
2024/03/23 00:14:53,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.9221,-61.442,64.1
2024/03/23 00:14:53,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.8859,-61.2727,74.4
2024/03/23 00:14:53,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.8677,-61.2728,123.6
2024/03/23 00:14:53,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.8677,-61.254,74.5
2024/03/23 00:14:53,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,1.8687,-60.4973,70.5
2024/03/23 00:14:54,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.6498,-60.5752,76.9
2024/03/23 00:14:54,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.6498,-60.5563,93.8
2024/03/23 00:14:54,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.6315,-60.5754,150.5
2024/03/23 00:14:54,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.6316,-60.5564,125.2
2024/03/23 00:14:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.6133,-60.5756,86.8
2024/03/23 00:14:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.5765,-60.841,91.3
2024/03/23 00:14:56,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.3396,-60.6914,66.3
2024/03/23 00:14:56,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.3397,-60.6725,90.9
2024/03/23 00:14:57,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.2485,-60.692,91.3
2024/03/23 00:14:57,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.2485,-60.6731,63.6
2024/03/23 00:14:58,GOES-16,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,,,,0.9387,-60.5044,71.7
2024/03/23 00:24:44,GOES-16,Brasil,RORAIMA,AMAJARI,Amazônia,,,,3.5104,-61.1177,71.3
2024/03/23 00:24:46,GOES-16,Brasil,RORAIMA,ALTO ALEGRE,Amazônia,,,,3.0525,-61.7104,62.6
2024/03/23 00:24:47,GOES-16,Brasil,RORAIMA,ALTO ALEGRE,Amazônia,,,,2.9614,-61.5988,68.6
2024/03/23 00:24:47,GOES-16,Brasil,RORAIMA,BONFIM,Amazônia,,,,2.9279,-60.2744,69.1
2024/03/23 00:24:48,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.6688,-61.9791,68.2
2024/03/23 00:24:50,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.3593,-61.6633,80.5
2024/03/23 00:24:50,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.3408,-61.8328,51.9
2024/03/23 00:24:50,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.3409,-61.814,103.1
2024/03/23 00:24:50,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.3411,-61.6823,64.7
2024/03/23 00:24:50,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.3243,-60.8143,67.1
2024/03/23 00:24:50,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.3251,-60.3782,64.2
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.3047,-61.6263,63.0
